changes in equity attributable to owners of parent ||| changes in the heritage attributable to owners of the controladora ||| 3 ||| 3
unused provision reversed , onerous contracts provision ||| provisions revertidas unused , provisions for contracts onerous ||| 4 ||| 2
method of determining fair value of instruments or interests ||| method of determining the value of reasonable instruments or holdings ||| 4.5 ||| 4.5
gross amount due to customers for contract work as liability ||| amount gross due to customers for contracts construction as passive ||| 3.5 ||| 3
material income and expense ||| income and expenditure significant ||| 4.5 ||| 4
description of reason for reclassification or changes in presentation ||| description of the right to reclassify or introduction of changes in the presentation ||| 3.5 ||| 2
increase -lrb- decrease -rrb- through transfers and other changes , other intangible assets ||| increase -lrb- reduction -rrb- for transfers and other changes , other intangible assets ||| 4 ||| 4
range of estimates within which fair value is likely to lie for biological assets , at cost ||| rank of estimates within which is likely that is the value reasonable for active biological , the cost ||| 3 ||| 2
description of expected timing of outflows , restructuring provision ||| description of the timetable expected departures of resources , provision for restructuring ||| 4 ||| 3
changes in biological assets ||| changes in assets biological ||| 5 ||| 4
other property , plant and equipment , temporarily idle ||| other properties , plant and team , ociosos temporarily ||| 3 ||| 3.5
increase -lrb- decrease -rrb- through net exchange differences , machinery ||| increase -lrb- reduction -rrb- by differences of change net machinery , ||| 2.5 ||| 3
expected future minimum sublease payments receivable under non-cancellable subleases , classified finance lease ||| future payments minimum by subarriendo is expected that receive under subarriendos not cancelables , classified as leasing ||| 3 ||| 2
changes in fair value of financial liability , attributable to changes in credit risk of liability ||| changes in the value of reasonable passive financial , attributable to changes in the risk of credit liabilities ||| 3 ||| 4
other short-term provisions ||| other provisions to short-term ||| 5 ||| 3.5
explanation of amount of outstanding balances for related party transaction , joint control or significant influence ||| explanation of the amount of balances outstanding for transactions with parts relating , joint control or significant influence ||| 4.5 ||| 3.5
financial liabilities reclassified into equity ||| passive financial reclassified in heritage ||| 4 ||| 3.5
revaluation of exploration and evaluation assets ||| revaluation of assets for exploration and evaluation ||| 5 ||| 5
increase -lrb- decrease -rrb- through net exchange differences , warranty provision ||| increase -lrb- reduction -rrb- by differences of change net , provisions for guarantees ||| 3 ||| 3
fee income -lrb- expense -rrb- arising from financial assets or financial liabilities not at fair value through profit or loss ||| income -lrb- expenditure -rrb- by committees from financial assets or passive financial that are not assess the value reasonable with changes in results ||| 4 ||| 4
defined benefit obligation from wholly or partly funded plans ||| obligations of benefits defined , from plans or partially funded total ||| 4.5 ||| 4
increase -lrb- decrease -rrb- through net exchange differences , fixtures and fittings ||| increase -lrb- reduction -rrb- by differences of change net , equipment and equipment ||| 3.5 ||| 4
comprehensive income , other reserves ||| comprehensive result , other reservations ||| 4 ||| 4
income on financial assets reclassified out of financial assets at fair value through profit or loss recognised in profit or loss ||| income in financial assets reclassified from financial assets to value reasonable with changes in acknowledged results in the outcome of the period ||| 3 ||| 3.5
dividends paid , classified as financing activities ||| paid dividends , classified as financing activities ||| 5 ||| 5
repayments of borrowings , classified as financing activities ||| reimbursements loans , classified as financing activities ||| 4 ||| 4
copyrights , patents and other industrial property rights , service and operating rights , gross ||| rights of intellectual property , patents and other rights of industrial property , service and rights of gross exploitation ; ||| 4 ||| 4
dividends paid ||| paid dividends ||| 5 ||| 5
description of basis of accounting for transactions between reportable segments ||| description of the criteria of charging of transactions between segments on the should inform ||| 2.5 ||| 2
decrease -lrb- increase -rrb- through curtailments , defined benefit obligation from wholly unfunded plans ||| reductions -lrb- increases -rrb- for reductions , obligations benefits defined , from plans completely without financing ||| 3 ||| 3
accumulated changes in fair value of loans or receivables related credit derivatives or similar instruments ||| changes accumulated in the value of reasonable loans or rights by charge connected with credit derivatives instruments or similar ||| 4 ||| 3.5
changes in other property , plant and equipment ||| changes in other properties , plant and team ||| 3.5 ||| 4.5
basis for attributing revenues from external customers to individual countries ||| criteria allocation , to the various countries , the income of activities ordinary from external customers . ||| 3 ||| 3
unearned finance income on finance lease , end of period later than five years ||| financial revenue not incurred by financial leases , end the period over five years ||| 4 ||| 3.5
effect of transition to ifrss ||| effect of the transition to ifrs ||| 5 ||| 5
disclosure of authorisation of financial statements ||| to disclose information on the authorisation of the states financial ||| 4 ||| 3.5
effective dates of revaluation , construction in progress ||| dates of validity of revaluation , constructions ongoing ||| 4 ||| 3
retrospective application and retrospective restatement ||| retroactive application and reexpresión retroactive ||| 3 ||| 3
changes in copyrights , patents and other industrial property rights , service and operating rights , internally generated ||| changes in rights of intellectual property , patents and other rights of industrial property , service and rights of exploitation , generated internally ||| 5 ||| 4.5
gross amount , accumulated amortisation and carrying amount ||| amount gross , depreciation accumulated é amount in books ||| 4 ||| 3
disclosure of business combinations and goodwill ||| to disclose information on combinations of business and added value ||| 4 ||| 3
reversal of impairment loss recognised in profit or loss , biological assets , at cost ||| desegregation of losses for deterioration of value recognised in the outcome of the period assets , biological , the cost ||| 3.5 ||| 3
disclosure of cost model applied for investment ||| to disclose information on the model of costs applied to investments ||| 3.5 ||| 4
description of key management personnel compensation , short-term employee benefits ||| description of the remuneration of staff management of the key to short-term profits , post-empleo ||| 2.5 ||| 3
reclassification adjustments on exchange differences on translation , before tax ||| adjustments reclassification in differences of change conversion , before taxes ||| 3 ||| 3
reversal of provisions for cost of restructuring ||| desegregation of provisions for restructuring costs ||| 4 ||| 5
reconciliation of changes in fair value of plan assets ||| conciliation changes in the value of reasonable assets plan ||| 3.5 ||| 4
profit -lrb- loss -rrb- from discontinued operations ||| gain -lrb- loss -rrb- from operations discontinuadas ||| 4.5 ||| 4
impairment loss recognised in other comprehensive income , other intangible assets , not internally generated ||| losses for deterioration of value recognised in another result integral , other intangible assets , not generated internally ||| 4 ||| 3.5
unused provision reversed , restructuring provision ||| provisions revertidas unused , provisions for restructuring ||| 4 ||| 3
licences and franchises , internally generated ||| licences and franchising , generated internally ||| 5 ||| 5
disclosure of recognised revenue from construction contracts ||| to disclose information on income of activities ordinary recognised from contracts construction ||| 3 ||| 3
