SIRS ||| SIRS ||| 5 ||| 1
Ricketisia typhi ||| Ricketisia typhi ||| 5 ||| 5
Chicken ||| Chicken ||| 5 ||| 1
Dengue Virus ||| Dengue Virus ||| 5 ||| 5
Bird flu virus ||| Bird flu virus ||| 5 ||| 2
Feline immunodeficiency virus ||| Feline immunodeficiency virus ||| 5 ||| 4
Virus of paperas ||| Mumps Virus ||| 4 ||| 5
Mystery reproductive syndrome ||| Mystery reproductive syndrome ||| 3.5 ||| 1
Skin lesion (Human) ||| Skin lesion (Human) ||| 5 ||| 5
Virus of influenza To of subtype H5N1 ||| Influenza A virus subtype H5N1 ||| 3.5 ||| 4
Skin lesion (Equine) ||| Skin lesion (Equine) ||| 3 ||| 4
Granuloma venereum ||| Granuloma venereum ||| 5 ||| 5
Zebu ||| Zebu ||| 5 ||| 5
Aspergillus fumigatus ||| Aspergillus fumigatus ||| 5 ||| 5
puerperal ulcer ||| Granuloma venereum ||| 5 ||| 3
Human Immunodeficiency Virus (HIV) type 1 ||| Human Immunodeficiency Virus Type 1 ||| 5 ||| 5
Fasciolosis (Bovine) ||| Fasciolosis (Bovine) ||| 5 ||| 5
Porcine epidemic diarrhoa virus ||| Porcine epidemic diarrhea virus ||| 4 ||| 5
Kyasanur Forest disease (Rodent) ||| Kyasanur Forest disease (Rodent) ||| 5 ||| 5
BT ||| BT ||| 5 ||| 1
Blastomicosis (Dog) ||| Blastomycosis (Canine) ||| 4 ||| 5
Non-human primate ||| Non-human primate ||| 5 ||| 5
Ovine smallpox ||| Sheep pox ||| 5 ||| 5
Virus of influenza To of subtype H1N2 ||| Influenza A virus subtype H1N2 ||| 3 ||| 4.5
Fever (Caprina) ||| Fever (Caprine) ||| 3 ||| 5
Foot and mouth disease (Human) ||| Foot and mouth disease (Human) ||| 5 ||| 5
Great African ape ||| African great ape ||| 5 ||| 5
Subungulates Hemorrhage ||| Subungual hematoma (Human) ||| 4 ||| 5
Bordetella pertussis ||| Bordetella pertussis ||| 5 ||| 5
Vómyth (Aviar) ||| Vomit (Avian) ||| 2.5 ||| 3
Mongoose ||| Mongoose ||| 5 ||| 5
Influenza B Virus ||| Influenza virus B ||| 5 ||| 5
Bacillus anthracis ||| Bacillus anthracis ||| 5 ||| 5
MUL ||| Rabbit ||| 5 ||| 0
Burkholderia mallei ||| Burkholderia mallei ||| 5 ||| 5
Illness by arañazo of cat ||| Inoculation Lymphoreticulosis ||| 3 ||| 3
Síndrome of Immunodeficiency Acquired |||  ||| 2.5 ||| 3.5
Pseudofarcy in horses ||| Pseudofarcy in horses ||| 5 ||| 5
Anaplasma phagocytophilum ||| Anaplasma phagocytophilum ||| 5 ||| 5
Borrelia parkeri ||| Borrelia parkeri ||| 5 ||| 5
arrow-leaf sida ||| Human immunodeficiency virus disease ||| 5 ||| 1
Novel influenza A/H1N1 strain ||| Novel influenza A/H1N1 strain ||| 5 ||| 4
AIDS ||| AIDS ||| 5 ||| 5
Hemoptisis ||| Hemoptysis (Bovine) ||| 5 ||| 5
Cysticercosis ||| Cysticercosis ||| 5 ||| 5
Hantavirus ||| Hantavirus ||| 5 ||| 5
Cough (Feline) ||| Cough (Feline) ||| 5 ||| 5
Fever (not human Primates) ||| Fever (Non-human primate) ||| 4 ||| 5
Scar ||| Scar (Human) ||| 5 ||| 5
Cough (Horse) ||| Cough (Equine) ||| 5 ||| 5
Congenital anomaly ||| Congenital anomaly (Bovine) ||| 5 ||| 3
Vibrio odd-cholera ||| Non-cholera Vibrio ||| 4 ||| 3
Vaginal discharge ||| Vaginal discharge ||| 5 ||| 5
Sandfly borne ||| Sandfly borne ||| 5 ||| 5
Yersinia pseudotuberculosis ||| Yersinia pseudotuberculosis ||| 5 ||| 5
Campilobacteriosis ||| Campylobacteriosis ||| 5 ||| 5
Domesticated bird ||| Poultry ||| 5 ||| 5
Immunosuppression ||| Immunosuppression (Human) ||| 5 ||| 5
Gallad herpesvirus 1 ||| Gallid herpesvirus 1 ||| 4 ||| 5
Staphylococcus ||| Staphylococcus ||| 5 ||| 5
Trichinella spiralis ||| Trichinella spiralis ||| 5 ||| 5
Myalgia (Swine) ||| Myalgia (Swine) ||| 5 ||| 5
paratuberculosis ||| Paratuberculosis ||| 5 ||| 4
Vómyth (not human Primates) ||| Vomit (Non-human primate) ||| 2.5 ||| 3.5
EAV ||| EAV ||| 5 ||| 4
Influenza A virus subtype H2N2 ||| Influenza A virus subtype H2N2 ||| 5 ||| 5
Bovine cattle ||| Cattle ||| 3 ||| 4
Muscle pain (lagomorphs) ||| Myalgia (Lagomorph) ||| 4 ||| 4
Virus caprine arthritis encephalitis ||| Caprine arthritis encephalitis virus ||| 3.5 ||| 5
Alpers' Huttenlocher disease ||| Alpers' Huttenlocher disease ||| 5 ||| 4.5
Blindness (Non-Human Primate) ||| Blindness (Non-Human Primate) ||| 5 ||| 5
Cercopiteco of L' Hoest ||| Cercopithecus l'hoesti ||| 3 ||| 3.5
Bee depopulation syndrome ||| Honey bee depopulation syndrome ||| 5 ||| 5
Legionella ||| Legionella ||| 5 ||| 5
Off-cycle menstrual bleeding ||| Off-cycle menstrual bleeding ||| 5 ||| 5
Dracontiasis ||| Dracontiasis ||| 5 ||| 5
Gastrointestinal hemorrhage (not human Primates) ||| Gastrointestinal bleeding (Non-Human Primate) ||| 4 ||| 5
Pain in the joints (Avian) ||| Arthralgia (Avian) ||| 5 ||| 5
candyman ||| Camel ||| 5 ||| 1
Camel ||| Camel ||| 5 ||| 5
Jaundice ||| Jaundice (Human) ||| 5 ||| 5
gastro-intestinal bleeding ||| Gastrointestinal bleeding (Human) ||| 5 ||| 5
Fever appellant transmitted by ftir�pteros ||| Louse borne relapsing fever ||| 2 ||| 4
Streptococal toxic shock syndrome ||| Streptococcal toxic shock syndrome ||| 5 ||| 4
avian lymphomatosis ||| Fowl paralysis ||| 5 ||| 3
ALV ||| Avian Lymphoid leukosis ||| 5 ||| 3
Abdominal pain (not human Primates) ||| Abdominal pain (Non-Human Primate) ||| 4 ||| 5
Fever (Bovine) ||| Fever (Bovine) ||| 5 ||| 5
Leucocytozoonosis ||| Leucocytozoonosis ||| 5 ||| 5
Inflamación gastrointestinal (Human) ||| Inflammation of the gastrointestinal tract (Human) ||| 3 ||| 5
Inflammation of the stomach ||| Inflammation of the stomach (Human) ||| 5 ||| 4
Pustule ||| Pustule (Human) ||| 5 ||| 5
gnat ||| Mosquito ||| 5 ||| 3
Dizziness ||| Dizziness ||| 5 ||| 5
Sicknesses ||| Giddiness ||| 5 ||| 3
Mosquito ||| Mosquito ||| 5 ||| 5
Riftvalley virus ||| Rift valley virus ||| 3.5 ||| 5
Typhoid fever ||| Typhoid fever ||| 5 ||| 5
Epigastric inflammation ||| Epigastric inflammation (Human) ||| 5 ||| 3.5
Rift valley fever ||| Rift valley fever ||| 5 ||| 5
Influenza A virus subtype H7N7 ||| Influenza A virus subtype H7N7 ||| 5 ||| 5
virus of the epizo�tica haemorrhagic Disease ||| Epizootic hemorrhagic disease virus ||| 3 ||| 5
Wuchereria bancrofti ||| Wuchereria bancrofti ||| 5 ||| 5
Wuchereria bancrofti ||| Wuchereria bancrofti ||| 5 ||| 5
Chronic Wasting Disease ||| Chronic wasting disease ||| 5 ||| 4
Clonorchis sinensis ||| Clonorchis sinensis ||| 5 ||| 5
Severe acute respiratory syndrome (Cat) ||| Severe acute respiratory syndrome (Feline) ||| 4 ||| 5
Nosemosis of bees ||| Nosemosis of bees ||| 5 ||| 3
Herpes ||| Herpes simplex ||| 5 ||| 5
TTO ||| Scrapie ||| 5 ||| 0
Transmission by garrapata ||| Tick borne ||| 3 ||| 4
Varroa ||| Varroatosis ||| 5 ||| 3.5
Fasciola gigantica ||| Fasciola gigantica ||| 5 ||| 5
West Nile Fever ||| West Nile Fever ||| 5 ||| 5
Acarapis woodi ||| Acarapis woodi ||| 5 ||| 1.5
Fever hemorrágica Argentina ||| Argentine Hemorrhagic Fever ||| 2 ||| 5
impaction ||| Shock (Cervine) ||| 5 ||| 1.5
Virus of the Japanese encephalitis B ||| Japanese B Encephalitis Virus ||| 3.5 ||| 5
Inflamación of Glándulas Salivary ||| Inflammed salivary glands (Human) ||| 2 ||| 3
Cold (Pork) ||| Catarrh (Swine) ||| 5 ||| 5
VSR ||| RSV ||| 5 ||| 5
Infertility (Human) ||| Infertility (Human) ||| 5 ||| 5
Hepatitis of the duck ||| Duck virus hepatitis ||| 4 ||| 5
Hepatitis E ||| Hepatitis E ||| 5 ||| 5
Flying squirrel ||| Flying squirrel ||| 5 ||| 5
Ganglions linfáCosta Rican ||| Enlargement of lymph nodes (Human) ||| 3 ||| 2
Classical swine fever ||| Classic swine fever ||| 5 ||| 5
Reduviid bug borne ||| Reduviid bug borne ||| 4 ||| 4
Unknown mode ||| Unknown Mode ||| 5 ||| 4
Fever of Chikungunya (Human) ||| Chikungunya fever (Human) ||| 4 ||| 5
Common marmoset ||| Common marmoset ||| 5 ||| 5
Tsetse fly borne ||| Tsetse fly borne ||| 5 ||| 5
Incapable to walk correctly |||  ||| 4 ||| 5
RSV ||| RSV ||| 5 ||| 4
ephidrosis ||| Hyperhidrosis (Bovine) ||| 4 ||| 4
Infección by MRSA resistant to the vancomicina ||| Vancomycin-resistant MRSA infection ||| 3 ||| 5
Gibbon ||| Gibbon ||| 5 ||| 5
Excessive sweating ||| Hyperhidrosis (Bovine) ||| 5 ||| 4
Diminished egg production (Aviario) ||| Decreased egg production (Avian) ||| 3.5 ||| 4
Infeccione by TO baumannii multirresistente ||| Multi-resistant A. baumannii infection ||| 2 ||| 3.5
Monkey herpes infection (Human) ||| Monkey herpes infection (Human) ||| 5 ||| 5
Bacterial vaginosis (Dog) ||| Bacterial vaginosis (Canine) ||| 4 ||| 4
Fever by garrapata of Colorado (Erosive) ||| Colorado tick fever (Rodent) ||| 3 ||| 3
Picaz�n (Pig) ||| Itching (Swine) ||| 2.5 ||| 3
Virus of estomatitis vesicular ||| Vesicular stomatitis virus ||| 3 ||| 4
Streptobacillus moniliformis ||| Streptobacillus moniliformis ||| 5 ||| 5
Colony collapse problem ||| Colony collapse (Honey Bee) ||| 5 ||| 5
Ibaraki disease ||| Ibaraki disease ||| 5 ||| 5
Anemia ||| Anemia (Human) ||| 5 ||| 5
Chikungunya fever (Non-human primate) ||| Chikungunya fever (Non-human primate) ||| 4.5 ||| 5
Pneumonia ||| Pneumonia (Human) ||| 5 ||| 5
Colorado tick fever ||| Colorado tick fever (Human) ||| 5 ||| 5
Liver cancer ||| Liver cancer ||| 5 ||| 5
Junin Virus ||| Junin Virus ||| 5 ||| 5
Infection with HSV-2 (Human) ||| HSV-2 infection (Human) ||| 4 ||| 5
Fotofobia ||| Photophobia ||| 2 ||| 3
Helminto ||| Helminth ||| 2 ||| 3
Warts genitale ||| Genital wart ||| 3 ||| 4
Neck ache ||| Neck ache (Human) ||| 5 ||| 4
Transmisión by the skin ||| Skin borne ||| 2.5 ||| 3.5
Condyloma acuminata ||| Condylomata acuminata ||| 5 ||| 5
Condiloma acuminata ||| Condylomata acuminata ||| 3.5 ||| 4
Fear of light ||| Fear of light ||| 4 ||| 4
Colorado tick fever virus ||| Colorado tick fever virus ||| 4 ||| 4
Lizard ||| Lizard ||| 5 ||| 4
Body fluid borne ||| Body fluid borne ||| 4.5 ||| 5
Feather moved (Aviary) ||| Molted feather (Avian) ||| 3 ||| 2
Infeccione by helminto ||| Helminthic infection ||| 2 ||| 3
Hymenolepiasis (Rodent) ||| Hymenolepiasis (Rodent) ||| 5 ||| 5
Itching (Human) |||  ||| 5 ||| 5
Virus Without Name ||| SNV ||| 4 ||| 4
Virus Sin Nombre ||| SNV ||| 2 ||| 3
Equine morbillivirus pneumonia ||| Equine morbillivirus pneumonia ||| 5 ||| 5
Neosporosis ||| Neosporosis (Canne) ||| 5 ||| 5
Variant of the ECJ ||| Variant CJD ||| 4.5 ||| 4
skull ||| Wolf ||| 5 ||| 5
Itching (Bovine) ||| Itching (Bovine) ||| 5 ||| 5
Convulsión ||| Convulsion ||| 2 ||| 3
Nausea (Rodent) ||| Nausea (Rodent) ||| 5 ||| 5
rattail ||| Rat ||| 5 ||| 2
Shortness of breath (Human) ||| Shortness of breath (Human) ||| 5 ||| 4
Seal ||| Seal ||| 5 ||| 5
Arteritis viral equine ||| Equine viral arteritis ||| 3.5 ||| 4
Acute inflammatory demyelinating polyneuropathy ||| Acute inflammatory demyelinating polyneuropathy ||| 5 ||| 3.5
Pain of back ||| Painful back ||| 4 ||| 5
Rinderpest ||| Rinderpest ||| 5 ||| 5
