SRRP,SIRS,0,0
Richettsia typhi,Ricketisia typhi,5,5
Pollo,Chicken,5,5
Virus del dengue,Dengue Virus,5,5
Gripe aviar,Bird flu virus,5,5
Virus de inmunodeficiencia felina (SIDA felino),Feline immunodeficiency virus,5,5
Virus de las paperas,Virus of paperas,5,5
Enfermedad porcina de la oreja azul,Mystery reproductive syndrome,5,5
Lesión cutánea (Humana),Skin lesion (Human),5,5
Virus de la influenza A del subtipo H5N1,Virus of influenza To of subtype H5N1,4,5
Lesión cutánea (Equina),Skin lesion (Equine),5,5
Granuloma Inguinal,Granuloma venereum,5,5
Cebú,Zebu,5,5
Aspergillus fumigatus,Aspergillus fumigatus,5,5
Granuloma Inguinal,puerperal ulcer,5,1
Virus de Inmunodeficiencia Humana (VIH) tipo 1,Human Immunodeficiency Virus (HIV) type 1,5,5
Fasciolosis (Bovina),Fasciolosis (Bovine),5,5
Virus de la diarrea porcina epidémica,Porcine epidemic diarrhoa virus,5,5
Enfermedad de la Floresta Kyasanur (Roedor),Kyasanur Forest disease (Rodent),5,5
Lengua azul,BT,0,0
Blastomicosis (Canino),Blastomicosis (Dog),5,5
Primate no humano,Non-human primate,5,5
Viruela ovina,Ovine smallpox,5,5
Virus de la influenza A del subtipo H1N2,Virus of influenza To of subtype H1N2,4,4
Fiebre (Caprina),Fever (Caprina),5,5
Enfermedad de la fiebre aftosa (Humana),Foot and mouth disease (Human),5,5
Gran simio africano,Great African ape,5,5
Hemorragia subungular,Subungulates Hemorrhage,4,5
Bordetella pertussis,Bordetella pertussis,5,5
Vómito (Aviar),Vómyth (Aviar),1,1
Mangosta,Mongoose,5,5
Virus de la influenza B,Influenza B Virus,5,5
Bacillus anthracis,Bacillus anthracis,5,5
Conejo,MUL,0,0
Burkholderia mallei,Burkholderia mallei,5,5
Enfermedad por arañazo de gato,Illness by arañazo of cat,1,2
Síndrome de Inmunodeficiencia Adquirida,Síndrome of Immunodeficiency Acquired,2,3
Linfangitis epizoótica de los caballos,Pseudofarcy in horses,3,3
Anaplasma phagocytophilum,Anaplasma phagocytophilum,5,5
Borrelia parkeri,Borrelia parkeri,5,5
SIDA,arrow-leaf sida,0,0
Virus de la gripe porcina A/H1N1,Novel influenza A/H1N1 strain,5,4
SIDA,AIDS,5,5
Hemoptisis,Hemoptisis,4,4
Cisticercosis,Cysticercosis,5,5
Hantavirus,Hantavirus,5,5
Tos (Felino),Cough (Feline),5,5
Fiebre (Primates no humanos),Fever (not human Primates),5,5
Cicatriz,Scar,5,5
Tos (Equina),Cough (Horse),5,5
Deformidad fetal (Bovino),Congenital anomaly,5,3
Vibrio non-cholera,Vibrio odd-cholera,1,0
Flujo vaginal,Vaginal discharge,5,5
Transmisión por mosca de polvo,Sandfly borne,5,4
Yersinia pseudotuberculosis,Yersinia pseudotuberculosis,5,5
Campilobacteriosis,Campilobacteriosis,5,5
Ave domesticada,Domesticated bird,5,5
Inmunosupresión,Immunosuppression,5,5
Gallid herpesvirus 1,Gallad herpesvirus 1,3,5
Staphylococcus,Staphylococcus,5,5
Trichinella spiralis,Trichinella spiralis,5,5
Dolor muscular (Porcina),Myalgia (Swine),5,3
Enfermedad de Johne,paratuberculosis,5,3
Vómito (Primates no humanos),Vómyth (not human Primates),0,0
Virus de la arteritis equina,EAV,5,3
Virus de la influenza A del subtipo H2N2,Influenza A virus subtype H2N2,3,5
Ganado bovino,Bovine cattle,5,5
Dolor muscular (Lagomorfa),Muscle pain (lagomorphs),5,5
Virus de la artritis encefalitis caprina,Virus caprine arthritis encephalitis,4,5
Enfermedad de Alper,Alpers' Huttenlocher disease,5,4
Ceguera (Primates no humanos),Blindness (Non-Human Primate),5,5
Cercopiteco de L'Hoest,Cercopiteco of L' Hoest,3,4
Síndrome de despoblación de abejas,Bee depopulation syndrome,5,5
Legionella,Legionella,5,5
Sangramiento menstrual fuera de ciclo,Off-cycle menstrual bleeding,5,5
Dracontiasis,Dracontiasis,0,0
Hemorragia gastrointestinal (Primates no humanos),Gastrointestinal hemorrhage (not human Primates),5,5
Dolor en las juntas (Aviar),Pain in the joints (Avian),4,5
Camello,candyman,0,0
Camello,Camel,5,5
Ictericia,Jaundice,5,3
Hemorragia gastrointestinal,gastro-intestinal bleeding,5,5
Fiebre recurrente  transmitida por ftirápteros,Fever appellant transmitted by ftir�pteros,2,0
SCTE,Streptococal toxic shock syndrome,5,3
Enfermedad de Marek,avian lymphomatosis,5,4
Leucosis aviar,ALV,5,3
Dolor abdominal (Primates no humanos),Abdominal pain (not human Primates),5,5
Fiebre (Bovina),Fever (Bovine),5,5
Leucocytozoonosis,Leucocytozoonosis,5,5
Inflamación gastrointestinal (Humano),Inflamación gastrointestinal (Human),1,1
Inflamación gastrointestinal (Humano),Inflammation of the stomach,3,5
Pustule,Pustule,5,5
Mosquito,gnat,5,5
Mareos,Dizziness,5,5
Mareos,Sicknesses,5,5
Mosquito,Mosquito,5,5
Virus de la fiebre de Rift Valley,Riftvalley virus,5,3
Fiebre tifoidea,Typhoid fever,5,5
Inflamación gastrointestinal,Epigastric inflammation,5,3
Fiebre del Valle del Rift,Rift valley fever,5,5
Virus de la influenza A del subtipo H7N7,Influenza A virus subtype H7N7,4,5
virus de la Enfermedad hemorrágica epizoótica,virus of the epizo�tica haemorrhagic Disease,3,3
Wuchereria bancrofti,Wuchereria bancrofti,5,5
Wuchereria bancrofti,Wuchereria bancrofti,5,5
Caquexia crónica,Chronic Wasting Disease,5,5
Clonorchis sinensis,Clonorchis sinensis,5,5
Síndrome respiratorio agudo severo (Felino),Severe acute respiratory syndrome (Cat),5,5
Nosemosis,Nosemosis of bees,5,4
Herpes,Herpes,5,5
Tembladera,TTO,0,0
Transmisión por garrapata,Transmission by garrapata,3,1
Varroasis,Varroa,5,3
Fasciola gigantica,Fasciola gigantica,5,5
Fiebre del Nilo Occidental,West Nile Fever,5,5
Arador de la sarna,Acarapis woodi,5,5
Fiebre hemorrágica argentina,Fever hemorrágica Argentina,3,3
Choque,impaction,3,4
Virus de la encefalitis japonesa B,Virus of the Japanese encephalitis B,5,5
Inflamación de Glándulas Salivales,Inflamación of Glándulas Salivary,1,3
Catarro (Porcina),Cold (Pork),5,5
VSR,VSR,5,5
Infertilidad (Humana),Infertility (Human),5,5
Hepatitis del pato,Hepatitis of the duck,4,5
Hepatitis E,Hepatitis E,5,5
Ardilla voladora,Flying squirrel,5,5
Ganglios linfáticos,Ganglions linfáCosta Rican,0,0
Peste porcina clásica,Classical swine fever,5,5
Transmisión por insecto redúvido,Reduviid bug borne,5,5
Modo desconocido,Unknown mode,5,5
Fiebre de Chikungunya (Humano),Fever of Chikungunya (Human),4,5
Marmoset común,Common marmoset,5,5
Transmisión por mosca tse-tsé,Tsetse fly borne,5,5
Incapaz de caminar correctamente,Incapable to walk correctly,5,5
Virus respiratorio sincicial,RSV,5,4
Hiperhidrosis,ephidrosis,5,2
Infección por MRSA resistentes a la vancomicina,Infección by MRSA resistant to the vancomicina,2,4
Gibón,Gibbon,5,5
Hiperhidrosis,Excessive sweating,5,4
Producción disminuida de huevos (Aviario),Diminished egg production (Aviario),5,5
Infeccione por A baumannii multirresistente,Infeccione by TO baumannii multirresistente,3,1
Enfermedad del herpesvirus B (Humano),Monkey herpes infection (Human),5,2
Vaginosis bacteriana (Canino),Bacterial vaginosis (Dog),5,5
Fiebre por garrapata de Colorado (Roedor),Fever by garrapata of Colorado (Erosive),1,0
Picazón (Porcina),Picaz�n (Pig),0,0
Virus de estomatitis vesicular,Virus of estomatitis vesicular,0,0
Streptobacillus moniliformis,Streptobacillus moniliformis,5,5
Problema de colapso de colonias,Colony collapse problem,5,5
Enfermedad de Ibaraki,Ibaraki disease,5,5
Anemia,Anemia,5,5
Fiebre de Chikungunya (Primates non humanos),Chikungunya fever (Non-human primate),5,5
Pulmonia,Pneumonia,5,5
Fiebre por garrapata de Colorado,Colorado tick fever,5,5
Cáncer hepático,Liver cancer,5,5
Virus Junin,Junin Virus,5,5
Infección por HSV-2 (Humano),Infection with HSV-2 (Human),3,2
Fotofobia,Fotofobia,3,5
Helminto,Helminto,2,4
Verrugas genitale,Warts genitale,3,4
Rigidez en el cuello,Neck ache,5,5
Transmisión por la piel,Transmisión by the skin,0,0
Condiloma acuminata,Condyloma acuminata,5,5
Condiloma acuminata,Condiloma acuminata,5,5
Fotofobia,Fear of light,4,5
Virus de la garrapata de Colorado,Colorado tick fever virus,5,5
Lacertilia,Lizard,5,5
Transmisión por fluido corporal,Body fluid borne,5,5
Pluma mudada (Aviario),Feather moved (Aviary),5,5
Infeccione por helminto,Infeccione by helminto,3,3
Himenolepiasis (Roedor),Hymenolepiasis (Rodent),5,5
Picazón (Humana),Itching (Human),5,5
Virus Sin Nombre,Virus Without Name,4,4
Virus Sin Nombre,Virus Sin Nombre,0,0
Neumonía equina por morbillivirus,Equine morbillivirus pneumonia,5,5
Neosporosis,Neosporosis,5,5
Variante de la ECJ,Variant of the ECJ,4,5
Lobo,skull,1,0
Picazón (Bovina),Itching (Bovine),5,5
Convulsión,Convulsión,5,5
Náusea (Roedores),Nausea (Rodent),5,5
Rata,rattail,1,1
Dipsnea (Humano),Shortness of breath (Human),5,5
Foca,Seal,5,5
Arteritis viral equina,Arteritis viral equine,4,5
Síndrome de Guillain-Barré,Acute inflammatory demyelinating polyneuropathy,5,4
Dolor de espalda,Pain of back,3,5
Peste bovina,Rinderpest,5,5
Dolor de espalda,Backache,5,5
Presencia de eritrocitos en la orina,Hematuria,5,0
Peste bovina,Bovine plague,5,5
Ojos enrojecidos,Red eyes,5,5
Úlcera genital,Genital ulcer,5,5
Náusea (Equina),Náusea (Equine),3,4
Mosquito Culex,Mosquito Culex,5,5
Condilomas,Condyloma,5,5
Asintomaticidad (Humano),Asymptomatic (Human),5,5
Cryptosporidium parvum,Cryptosporidium parvum,5,5
Vómito en posos de café,Vómyth in posos of café,0,0
Gato,Cat,5,5
Dolor en las juntas (Roedores),Pain in the joints (Rodents),4,5
procariota,prokaryote,5,5
decoración,decoración,2,1
suelo franco muy fino,fine loamy,5,5
convariedad,convariety,5,5
sitio,site,5,5
definidor del axon,defining the axon,0,0
fabricación de productos químicos,manufacturing chemical,2,3
sustancia,substance,5,5
Colección de plantas,Plant Collection,5,5
Enzima de restricción,Restriction enzyme,5,5
Colección de datos,data stock,3,3
entidad numérica,numeric entity,5,5
Colección de datos,data collection,5,5
mejoramiento ,breeding,1,0
arena media,medium sand,5,5
Viento,blast,5,2
