SIRS ||| SIRS ||| 0 ||| 0
Ricketisia typhi ||| Ricketisia typhi ||| 5 ||| 5
Chicken ||| Chicken ||| 5 ||| 5
Dengue Virus ||| Dengue Virus ||| 5 ||| 5
Bird flu virus ||| Bird flu virus ||| 5 ||| 5
Feline immunodeficiency virus ||| Feline immunodeficiency virus ||| 5 ||| 5
Virus of paperas ||| Mumps Virus ||| 5 ||| 5
Mystery reproductive syndrome ||| Mystery reproductive syndrome ||| 5 ||| 5
Skin lesion (Human) ||| Skin lesion (Human) ||| 5 ||| 5
Virus of influenza To of subtype H5N1 ||| Influenza A virus subtype H5N1 ||| 4 ||| 5
Skin lesion (Equine) ||| Skin lesion (Equine) ||| 5 ||| 5
Granuloma venereum ||| Granuloma venereum ||| 5 ||| 5
Zebu ||| Zebu ||| 5 ||| 5
Aspergillus fumigatus ||| Aspergillus fumigatus ||| 5 ||| 5
puerperal ulcer ||| Granuloma venereum ||| 5 ||| 1
Human Immunodeficiency Virus (HIV) type 1 ||| Human Immunodeficiency Virus Type 1 ||| 5 ||| 5
Fasciolosis (Bovine) ||| Fasciolosis (Bovine) ||| 5 ||| 5
Porcine epidemic diarrhoa virus ||| Porcine epidemic diarrhea virus ||| 5 ||| 5
Kyasanur Forest disease (Rodent) ||| Kyasanur Forest disease (Rodent) ||| 5 ||| 5
BT ||| BT ||| 0 ||| 0
Blastomicosis (Dog) ||| Blastomycosis (Canine) ||| 5 ||| 5
Non-human primate ||| Non-human primate ||| 5 ||| 5
Ovine smallpox ||| Sheep pox ||| 5 ||| 5
Virus of influenza To of subtype H1N2 ||| Influenza A virus subtype H1N2 ||| 4 ||| 4
Fever (Caprina) ||| Fever (Caprine) ||| 5 ||| 5
Foot and mouth disease (Human) ||| Foot and mouth disease (Human) ||| 5 ||| 5
Great African ape ||| African great ape ||| 5 ||| 5
Subungulates Hemorrhage ||| Subungual hematoma (Human) ||| 4 ||| 5
Bordetella pertussis ||| Bordetella pertussis ||| 5 ||| 5
Vómyth (Aviar) ||| Vomit (Avian) ||| 1 ||| 1
Mongoose ||| Mongoose ||| 5 ||| 5
Influenza B Virus ||| Influenza virus B ||| 5 ||| 5
Bacillus anthracis ||| Bacillus anthracis ||| 5 ||| 5
MUL ||| Rabbit ||| 0 ||| 0
Burkholderia mallei ||| Burkholderia mallei ||| 5 ||| 5
Illness by arañazo of cat ||| Inoculation Lymphoreticulosis ||| 1 ||| 2
Síndrome of Immunodeficiency Acquired |||  ||| 2 ||| 3
Pseudofarcy in horses ||| Pseudofarcy in horses ||| 3 ||| 3
Anaplasma phagocytophilum ||| Anaplasma phagocytophilum ||| 5 ||| 5
Borrelia parkeri ||| Borrelia parkeri ||| 5 ||| 5
arrow-leaf sida ||| Human immunodeficiency virus disease ||| 0 ||| 0
Novel influenza A/H1N1 strain ||| Novel influenza A/H1N1 strain ||| 5 ||| 4
AIDS ||| AIDS ||| 5 ||| 5
Hemoptisis ||| Hemoptysis (Bovine) ||| 4 ||| 4
Cysticercosis ||| Cysticercosis ||| 5 ||| 5
Hantavirus ||| Hantavirus ||| 5 ||| 5
Cough (Feline) ||| Cough (Feline) ||| 5 ||| 5
Fever (not human Primates) ||| Fever (Non-human primate) ||| 5 ||| 5
